t_ms,fps,hero_x,hero_y,hero_render_x,hero_render_y,hero_units_per_sec,steps,interp_alpha,frame_ms,hero_anim,hero_anim_render
36860.4,57.7064,7045.25,4215.37,7046.08,4222.99,2437.18,1,0.360815,17.3291,4.44,4.22907
36877.6,58.2137,7045.25,4215.37,7045.52,4217.87,2430.31,0,0.790268,17.1781,4.44,4.37079
36890.7,76.1818,7043.62,4203.48,7045.05,4213.96,2427.05,1,0.11843,13.1265,4.77,4.47908
36906.6,62.9053,7043.62,4203.48,7044.41,4209.23,2420.74,0,0.515853,15.8969,4.77,4.61023
36920.2,73.699,7043.62,4203.48,7043.86,4205.2,2415.38,0,0.85507,13.5687,4.77,4.72217
36937.5,57.7147,7042.66,4191.52,7043.34,4200.03,2410.53,1,0.288235,17.3266,5.1,4.86512
36953.7,61.7875,7042.66,4191.52,7042.95,4195.19,2404.2,0,0.692847,16.1845,5.1,4.99864
36971.8,55.3554,7042.31,4179.52,7042.61,4189.78,2399.12,1,0.144475,18.0651,5.43,5.14767
36985.5,72.9373,7042.31,4179.52,7042.49,4185.67,2393.81,0,0.487235,13.7104,5.43,5.26079
37002.1,60.0788,7042.31,4179.52,7042.34,4180.68,2387.4,0,0.903355,16.6448,5.43,5.39811
37018.7,60.2395,7043.66,4167.6,7042.74,4175.73,2382.96,1,0.318365,16.6004,5.76,5.53506
37036,57.8396,7043.66,4167.6,7043.32,4170.57,2376.37,0,0.750595,17.2892,5.76,5.67769
37052.8,59.7475,7046.39,4155.91,7044.12,4165.62,2371.94,1,0.169023,16.7371,0.0899978,0.0899978
37070,58.007,7046.39,4155.91,7045.29,4160.59,2365.43,0,0.600005,17.2393,0.0899978,0.0899978
37086.9,59.2624,7051.27,4144.95,7046.49,4155.67,2360.99,1,0.0218575,16.8741,0.419998,0.0972107
37105.6,53.3581,7051.27,4144.95,7048.78,4150.54,2353.99,0,0.49039,18.7413,0.419998,0.251826
37120.3,68.0712,7051.27,4144.95,7050.58,4146.51,2348.53,0,0.857652,14.6905,0.419998,0.373023
37139.1,53.2714,7057.63,4134.77,7053.35,4141.62,2343.48,1,0.326948,18.7718,0.749998,0.52789
37154.2,66.295,7057.63,4134.77,7055.75,4137.79,2337.92,0,0.70405,15.0841,0.749998,0.652334
37170,63.18,7065.23,4125.49,7058.39,4133.85,2334.01,1,0.099745,15.8278,1.08,0.782914
37185.3,65.2652,7065.23,4125.49,7061.3,4130.29,2328.42,0,0.482798,15.3221,1.08,0.909321
37204.6,51.8958,7065.23,4125.49,7064.96,4125.82,2321.42,0,0.964532,19.2694,1.08,1.06829
37218.9,70.0045,7073.53,4116.82,7067.9,4122.7,2318.13,1,0.321653,14.2848,1.41,1.18614
37235.7,59.4082,7073.53,4116.82,7071.39,4119.05,2312.08,0,0.74247,16.8327,1.41,1.32501
37252.4,59.9772,7082.3,4108.64,7074.93,4115.52,2307.97,1,0.159295,16.673,1.74,1.46257
37269.2,59.3521,7082.3,4108.64,7078.62,4112.07,2301.97,0,0.58051,16.8486,1.74,1.60157
37289,50.4663,7091.5,4100.92,7083,4108.05,2296.8,1,0.07589,19.8152,2.07,1.76504
37302.8,72.8932,7091.5,4100.92,7086.15,4105.4,2291.97,0,0.418858,13.7187,2.07,1.87822
